code,name,id
12.13.10.2017,Pastap,adm_area_12_13_10_2017
12.13.10.2018,Pastap Julu,adm_area_12_13_10_2018
12.13.10.2020,Rao Rao Dolok,adm_area_12_13_10_2020
12.13.10.2021,Rao Rao Lombang,adm_area_12_13_10_2021
12.13.10.2025,Simangambat TB,adm_area_12_13_10_2025
12.13.10.2026,Tambangan Jae,adm_area_12_13_10_2026
12.13.10.2027,Tambangan Pasoman,adm_area_12_13_10_2027
12.13.10.2028,Tambangan Tonga,adm_area_12_13_10_2028
12.13.11,Ulu Pungkut,adm_area_12_13_11
12.13.11.2001,Alahan Kae,adm_area_12_13_11_2001
12.13.11.2002,Habincaran,adm_area_12_13_11_2002
12.13.11.1003,Huta Godang,adm_area_12_13_11_1003
12.13.11.2004,Huta Padang UP,adm_area_12_13_11_2004
12.13.11.2005,Hutaimbaru UP,adm_area_12_13_11_2005
12.13.11.2007,Patahajang,adm_area_12_13_11_2007
12.13.11.2008,Simpang Banyak Jae,adm_area_12_13_11_2008
12.13.11.2009,Simpang Banyak Julu,adm_area_12_13_11_2009
12.13.11.2010,Simpang Duhu Dolok,adm_area_12_13_11_2010
12.13.11.2011,Simpang Duhu Lombang,adm_area_12_13_11_2011
12.13.11.2012,Simpang Pining,adm_area_12_13_11_2012
12.13.11.2013,Tolang,adm_area_12_13_11_2013
12.13.12,Muara Sipongi,adm_area_12_13_12
12.13.12.2001,Bandar Panjang,adm_area_12_13_12_2001
12.13.12.2002,Bandar Panjang Tuo,adm_area_12_13_12_2002
12.13.12.2007,Kampung Pinang,adm_area_12_13_12_2007
12.13.12.2008,Koto Baringin,adm_area_12_13_12_2008
12.13.12.2009,Limau Manis,adm_area_12_13_12_2009
12.13.12.2012,Ranjo Batu,adm_area_12_13_12_2012
12.13.12.2013,Sibinail,adm_area_12_13_12_2013
12.13.12.2015,Simpang Mandepo,adm_area_12_13_12_2015
12.13.12.2016,Tamiang Mudo,adm_area_12_13_12_2016
12.13.12.2017,Tanjung Alai,adm_area_12_13_12_2017
12.13.12.1019,Pasar Muara Sipongi,adm_area_12_13_12_1019
12.13.12.2020,Tanjung Medan,adm_area_12_13_12_2020
12.13.12.2021,Muara Kumpulan,adm_area_12_13_12_2021
12.13.12.2022,Aek Botung,adm_area_12_13_12_2022
12.13.12.2023,Koto Boru,adm_area_12_13_12_2023
12.13.12.2024,Tanjung Larangan,adm_area_12_13_12_2024
12.13.13,Batang Natal,adm_area_12_13_13
12.13.13.2001,Aek Guo,adm_area_12_13_13_2001
12.13.13.2002,Aek Holbung,adm_area_12_13_13_2002
12.13.13.2003,Aek Manggis,adm_area_12_13_13_2003
12.13.13.2004,Aek Nabara,adm_area_12_13_13_2004
12.13.13.2005,Aek Nangali,adm_area_12_13_13_2005
12.13.13.2006,Ampung Julu,adm_area_12_13_13_2006
12.13.13.2007,Ampung Padang,adm_area_12_13_13_2007
12.13.13.2008,Ampung Siala,adm_area_12_13_13_2008
12.13.13.2009,Bangkelang,adm_area_12_13_13_2009
12.13.13.2010,Banjar Malayu,adm_area_12_13_13_2010
12.13.13.2011,Batu Madinding,adm_area_12_13_13_2011
12.13.13.2012,Bulu Soma,adm_area_12_13_13_2012
12.13.13.2013,Guo Batu,adm_area_12_13_13_2013
12.13.13.2014,Hadangkahan,adm_area_12_13_13_2014
12.13.13.2015,Hatupangan,adm_area_12_13_13_2015
12.13.13.2016,Muara Parlampungan,adm_area_12_13_13_2016
12.13.13.1017,Muara Soma,adm_area_12_13_13_1017
12.13.13.2018,Rantobi,adm_area_12_13_13_2018
12.13.13.2019,Rao Rao,adm_area_12_13_13_2019
12.13.13.2020,Simanguntong,adm_area_12_13_13_2020
12.13.13.2021,Sipogu,adm_area_12_13_13_2021
12.13.13.2022,Sopo Tinjak,adm_area_12_13_13_2022
12.13.13.2023,Tarlola,adm_area_12_13_13_2023
