code,name,id
31.73.01.1004,Kedaung Kali Angke,adm_area_31_73_01_1004
31.73.01.1005,Kapuk,adm_area_31_73_01_1005
31.73.01.1006,Cengkareng Timur,adm_area_31_73_01_1006
31.73.02,Grogol Petamburan,adm_area_31_73_02
31.73.02.1001,Grogol,adm_area_31_73_02_1001
31.73.02.1002,Tanjung Duren Utara,adm_area_31_73_02_1002
31.73.02.1003,Tomang,adm_area_31_73_02_1003
31.73.02.1004,Jelambar,adm_area_31_73_02_1004
31.73.02.1005,Tanjung Duren Selatan,adm_area_31_73_02_1005
31.73.02.1006,Jelambar Baru,adm_area_31_73_02_1006
31.73.02.1007,Wijaya Kusuma,adm_area_31_73_02_1007
31.73.03,Taman Sari,adm_area_31_73_03
31.73.03.1001,Taman Sari,adm_area_31_73_03_1001
31.73.03.1002,Krukut,adm_area_31_73_03_1002
31.73.03.1003,Maphar,adm_area_31_73_03_1003
31.73.03.1004,Tangki,adm_area_31_73_03_1004
31.73.03.1005,Mangga Besar,adm_area_31_73_03_1005
31.73.03.1006,Keagungan,adm_area_31_73_03_1006
31.73.03.1007,Glodok,adm_area_31_73_03_1007
31.73.03.1008,Pinangsia,adm_area_31_73_03_1008
31.73.04,Tambora,adm_area_31_73_04
31.73.04.1001,Tambora,adm_area_31_73_04_1001
31.73.04.1002,Kali Anyar,adm_area_31_73_04_1002
31.73.04.1003,Duri Utara,adm_area_31_73_04_1003
31.73.04.1004,Tanah Sereal,adm_area_31_73_04_1004
31.73.04.1005,Krendang,adm_area_31_73_04_1005
31.73.04.1006,Jembatan Besi,adm_area_31_73_04_1006
31.73.04.1007,Angke,adm_area_31_73_04_1007
31.73.04.1008,Jembatan Lima,adm_area_31_73_04_1008
31.73.04.1009,Pekojan,adm_area_31_73_04_1009
31.73.04.1010,Roa Malaka,adm_area_31_73_04_1010
31.73.04.1011,Duri Selatan,adm_area_31_73_04_1011
31.73.05,Kebon Jeruk,adm_area_31_73_05
31.73.05.1001,Kebon Jeruk,adm_area_31_73_05_1001
31.73.05.1002,Sukabumi Utara,adm_area_31_73_05_1002
31.73.05.1003,Sukabumi Selatan,adm_area_31_73_05_1003
31.73.05.1004,Kelapa Dua,adm_area_31_73_05_1004
31.73.05.1005,Duri Kepa,adm_area_31_73_05_1005
31.73.05.1006,Kedoya Utara,adm_area_31_73_05_1006
31.73.05.1007,Kedoya Selatan,adm_area_31_73_05_1007
31.73.06,Kalideres,adm_area_31_73_06
31.73.06.1001,Kalideres,adm_area_31_73_06_1001
31.73.06.1002,Semanan,adm_area_31_73_06_1002
31.73.06.1003,Tegal Alur,adm_area_31_73_06_1003
31.73.06.1004,Kamal,adm_area_31_73_06_1004
31.73.06.1005,Pegadungan,adm_area_31_73_06_1005
31.73.07,Pal Merah,adm_area_31_73_07
31.73.07.1001,Palmerah,adm_area_31_73_07_1001
31.73.07.1002,Slipi,adm_area_31_73_07_1002
31.73.07.1003,Kota Bambu Utara,adm_area_31_73_07_1003
31.73.07.1004,Jatipulo,adm_area_31_73_07_1004
31.73.07.1005,Kemanggisan,adm_area_31_73_07_1005
31.73.07.1006,Kota Bambu Selatan,adm_area_31_73_07_1006
