code,name,id
11,ACEH,adm_area_11
11.01,KAB. ACEH SELATAN,adm_area_11_01
11.01.01,Bakongan,adm_area_11_01_01
11.01.01.2001,Keude Bakongan,adm_area_11_01_01_2001
11.01.01.2002,Ujong Mangki,adm_area_11_01_01_2002
11.01.01.2003,Ujong Padang,adm_area_11_01_01_2003
11.01.01.2004,Gampong Drien,adm_area_11_01_01_2004
11.01.01.2015,Darul Ikhsan,adm_area_11_01_01_2015
11.01.01.2016,Padang Beurahan,adm_area_11_01_01_2016
11.01.01.2017,Gampong Baro,adm_area_11_01_01_2017
11.01.02,Kluet Utara,adm_area_11_01_02
11.01.02.2001,Fajar Harapan,adm_area_11_01_02_2001
11.01.02.2002,Krueng Batee,adm_area_11_01_02_2002
11.01.02.2003,Pasi Kuala Asahan,adm_area_11_01_02_2003
11.01.02.2004,Gunung Pulo,adm_area_11_01_02_2004
11.01.02.2005,Pulo Ie I,adm_area_11_01_02_2005
11.01.02.2006,Jambo Manyang,adm_area_11_01_02_2006
11.01.02.2007,Simpang Empat,adm_area_11_01_02_2007
11.01.02.2008,Limau Purut,adm_area_11_01_02_2008
11.01.02.2009,Pulo Kambing,adm_area_11_01_02_2009
11.01.02.2010,Kampung Paya,adm_area_11_01_02_2010
11.01.02.2011,Krueng Batu,adm_area_11_01_02_2011
11.01.02.2012,Krueng Kluet,adm_area_11_01_02_2012
11.01.02.2013,Alur Mas,adm_area_11_01_02_2013
11.01.02.2014,Kampung Tinggi,adm_area_11_01_02_2014
11.01.02.2015,Ruak,adm_area_11_01_02_2015
11.01.02.2016,Simpang Lhee,adm_area_11_01_02_2016
11.01.02.2017,Suaq Geuringgeng,adm_area_11_01_02_2017
11.01.02.2018,Pasi Kuala Ba'u,adm_area_11_01_02_2018
11.01.02.2019,Kedai Padang,adm_area_11_01_02_2019
11.01.02.2020,Kotafajar,adm_area_11_01_02_2020
11.01.02.2021,Gunung Pudung,adm_area_11_01_02_2021
11.01.03,Kluet Selatan,adm_area_11_01_03
11.01.03.2001,Suaq Bakung,adm_area_11_01_03_2001
11.01.03.2002,Rantau Binuang,adm_area_11_01_03_2002
11.01.03.2003,Barat Daya,adm_area_11_01_03_2003
11.01.03.2004,Sialang,adm_area_11_01_03_2004
11.01.03.2005,Kapeh,adm_area_11_01_03_2005
11.01.03.2006,Pulo Ie,adm_area_11_01_03_2006
11.01.03.2007,Kedai Runding,adm_area_11_01_03_2007
11.01.03.2008,Kedai Kandang,adm_area_11_01_03_2008
11.01.03.2009,Gampong Luar,adm_area_11_01_03_2009
11.01.03.2010,Ujung,adm_area_11_01_03_2010
11.01.03.2011,Jua,adm_area_11_01_03_2011
11.01.03.2012,Pasi Meurapat,adm_area_11_01_03_2012
11.01.03.2013,Ujung Pasir,adm_area_11_01_03_2013
11.01.03.2014,Geulumbuk,adm_area_11_01_03_2014
11.01.03.2015,Pasie Lembang,adm_area_11_01_03_2015
11.01.03.2016,Ujung Padang,adm_area_11_01_03_2016
11.01.03.2017,Indra Damai,adm_area_11_01_03_2017
11.01.04,Labuhan Haji,adm_area_11_01_04
11.01.04.2001,Bakau Hulu,adm_area_11_01_04_2001
11.01.04.2002,Padang Bakau,adm_area_11_01_04_2002
11.01.04.2003,Manggis Harapan,adm_area_11_01_04_2003
11.01.04.2004,Pasar Lama,adm_area_11_01_04_2004
11.01.04.2005,Apha,adm_area_11_01_04_2005
11.01.04.2006,Ujung Batu,adm_area_11_01_04_2006
11.01.04.2007,Pawoh,adm_area_11_01_04_2007
11.01.04.2008,Dalam,adm_area_11_01_04_2008
11.01.04.2009,Kota Palak,adm_area_11_01_04_2009
11.01.04.2010,Cacang,adm_area_11_01_04_2010
11.01.04.2011,Tengah Pisang,adm_area_11_01_04_2011
11.01.04.2012,Pisang,adm_area_11_01_04_2012
11.01.04.2013,Hulu Pisang,adm_area_11_01_04_2013
11.01.04.2014,Tengah Baru,adm_area_11_01_04_2014
11.01.04.2015,Lembah Baru,adm_area_11_01_04_2015
11.01.04.2016,Padang Baru,adm_area_11_01_04_2016
11.01.05,Meukek,adm_area_11_01_05
11.01.05.2001,Kuta Buloh II,adm_area_11_01_05_2001
11.01.05.2002,Kuta Buloh I,adm_area_11_01_05_2002
11.01.05.2003,Ie Dingen,adm_area_11_01_05_2003
11.01.05.2004,Drien Jalo,adm_area_11_01_05_2004
11.01.05.2005,Jambo Papeun,adm_area_11_01_05_2005
11.01.05.2006,Buket Meuh,adm_area_11_01_05_2006
11.01.05.2007,Blang Kuala,adm_area_11_01_05_2007
11.01.05.2008,Rot Teungoh,adm_area_11_01_05_2008
11.01.05.2009,Alue Baro,adm_area_11_01_05_2009
11.01.05.2010,Ladang Tuha,adm_area_11_01_05_2010
11.01.05.2011,Lhok Mamplam,adm_area_11_01_05_2011
11.01.05.2012,Arun Tunggai,adm_area_11_01_05_2012
11.01.05.2013,Blang Teungoh,adm_area_11_01_05_2013
11.01.05.2014,Blang Bladeh,adm_area_11_01_05_2014
11.01.05.2015,Ie Buboh,adm_area_11_01_05_2015
11.01.05.2016,Keude Meukek,adm_area_11_01_05_2016
11.01.05.2017,Kuta Baro,adm_area_11_01_05_2017
11.01.05.2018,Tanjung Harapan,adm_area_11_01_05_2018
11.01.05.2019,Labuhan Tarok,adm_area_11_01_05_2019
11.01.05.2020,Lhok Aman,adm_area_11_01_05_2020
11.01.05.2021,Alue Meutuah,adm_area_11_01_05_2021
11.01.05.2022,Ladang Baro,adm_area_11_01_05_2022
11.01.05.2023,Labuhan Tarok II,adm_area_11_01_05_2023
11.01.06,Samadua,adm_area_11_01_06
11.01.06.2001,Dalam,adm_area_11_01_06_2001
11.01.06.2002,Subarang,adm_area_11_01_06_2002
11.01.06.2003,Kuta Baru,adm_area_11_01_06_2003
11.01.06.2004,Gunung Ketek,adm_area_11_01_06_2004
11.01.06.2005,Ladang Panton Luas,adm_area_11_01_06_2005
11.01.06.2006,Madat,adm_area_11_01_06_2006
11.01.06.2007,Alur Seumerah,adm_area_11_01_06_2007
11.01.06.2008,Tengah,adm_area_11_01_06_2008
11.01.06.2009,Gunung Cut,adm_area_11_01_06_2009
11.01.06.2010,Alur Pinang,adm_area_11_01_06_2010
11.01.06.2011,Kuta Blang,adm_area_11_01_06_2011
11.01.06.2012,Batee Tunggai,adm_area_11_01_06_2012
11.01.06.2013,Ujung Tanah,adm_area_11_01_06_2013
11.01.06.2014,Ujung Kampung,adm_area_11_01_06_2014
11.01.06.2015,Jilatang,adm_area_11_01_06_2015
11.01.06.2016,Luar,adm_area_11_01_06_2016
11.01.06.2017,Lubuk Layu,adm_area_11_01_06_2017
11.01.06.2018,Suaq Hulu,adm_area_11_01_06_2018
11.01.06.2019,Tampang,adm_area_11_01_06_2019
11.01.06.2020,Payonan Gadang,adm_area_11_01_06_2020
11.01.06.2021,Gadang,adm_area_11_01_06_2021
11.01.06.2022,Baru,adm_area_11_01_06_2022
11.01.06.2023,Ladang Kasik Putih,adm_area_11_01_06_2023
11.01.06.2024,Air Sialang Hilir.,adm_area_11_01_06_2024
11.01.06.2025,Air Sialang Hulu,adm_area_11_01_06_2025
11.01.06.2026,Air Sialang Tengah,adm_area_11_01_06_2026
11.01.06.2027,Balai,adm_area_11_01_06_2027
11.01.06.2028,Arafah,adm_area_11_01_06_2028
11.01.07,Sawang,adm_area_11_01_07
11.01.07.2001,Sikulat,adm_area_11_01_07_2001
11.01.07.2002,Sawang I,adm_area_11_01_07_2002
11.01.07.2003,Meuligo,adm_area_11_01_07_2003
11.01.07.2004,Lhok Pawoh,adm_area_11_01_07_2004
11.01.07.2005,Sawang II,adm_area_11_01_07_2005
11.01.07.2006,Ujung Karang,adm_area_11_01_07_2006
11.01.07.2007,Trieng Meuduro Baroh,adm_area_11_01_07_2007
11.01.07.2008,Trieng Meuduro Tunong,adm_area_11_01_07_2008
11.01.07.2009,Panton Luas,adm_area_11_01_07_2009
11.01.07.2010,Simpang Tiga,adm_area_11_01_07_2010
11.01.07.2011,Kuta Baro,adm_area_11_01_07_2011
11.01.07.2012,Blang Geulinggang,adm_area_11_01_07_2012
11.01.07.2013,Mutiara,adm_area_11_01_07_2013
11.01.07.2014,Ujung Padang,adm_area_11_01_07_2014
11.01.07.2015,Sawang Ba'u,adm_area_11_01_07_2015
11.01.08,Tapaktuan,adm_area_11_01_08
11.01.08.2001,Lhok Keutapang,adm_area_11_01_08_2001
11.01.08.2002,Hilir,adm_area_11_01_08_2002
11.01.08.2003,Padang,adm_area_11_01_08_2003
11.01.08.2004,Hulu,adm_area_11_01_08_2004
11.01.08.2005,Jambo Apha,adm_area_11_01_08_2005
11.01.08.2006,Tepi Air,adm_area_11_01_08_2006
11.01.08.2007,Pasar,adm_area_11_01_08_2007
11.01.08.2008,Lhok Bengkuang,adm_area_11_01_08_2008
11.01.08.2009,Panton Luas,adm_area_11_01_08_2009
11.01.08.2010,Gunung Kerambil,adm_area_11_01_08_2010
11.01.08.2011,Air Berundang,adm_area_11_01_08_2011
11.01.08.2012,Batu Itam,adm_area_11_01_08_2012
11.01.08.2013,Panjupian,adm_area_11_01_08_2013
11.01.08.2014,Lhok Rukam,adm_area_11_01_08_2014
11.01.08.2015,Air Pinang,adm_area_11_01_08_2015
11.01.08.2016,Lhok Bengkuang Timur,adm_area_11_01_08_2016
11.01.09,"Trumon,",adm_area_11_01_09
11.01.09.2001,Keude Trumon,adm_area_11_01_09_2001
11.01.09.2002,Ujong Tanoh,adm_area_11_01_09_2002
11.01.09.2003,Sigleng,adm_area_11_01_09_2003
11.01.09.2004,Ie Meudama,adm_area_11_01_09_2004
11.01.09.2005,Tuepin Tinggi,adm_area_11_01_09_2005
11.01.09.2006,Kuta Baro,adm_area_11_01_09_2006
11.01.09.2007,Panton Bilie,adm_area_11_01_09_2007
11.01.09.2012,Kuta Padang,adm_area_11_01_09_2012
11.01.09.2013,Raket,adm_area_11_01_09_2013
11.01.09.2014,Gampong Teungoh,adm_area_11_01_09_2014
11.01.09.2015,Seuneubok  Jaya,adm_area_11_01_09_2015
11.01.09.2016,Padang Harapan,adm_area_11_01_09_2016
11.01.10,Pasi Raja,adm_area_11_01_10
11.01.10.2001,Ladang Teungoh,adm_area_11_01_10_2001
11.01.10.2002,Pucok Krueng,adm_area_11_01_10_2002
11.01.10.2003,Silolo,adm_area_11_01_10_2003
11.01.10.2004,Kampung Baru,adm_area_11_01_10_2004
11.01.10.2005,Panton Bili,adm_area_11_01_10_2005
11.01.10.2006,Paya Ateuk,adm_area_11_01_10_2006
11.01.10.2007,Ladang Tuha,adm_area_11_01_10_2007
11.01.10.2008,Mata Ie,adm_area_11_01_10_2008
11.01.10.2009,Ujong Batee,adm_area_11_01_10_2009
11.01.10.2010,Lhok Sialang Cut,adm_area_11_01_10_2010
11.01.10.2011,Seuneubok,adm_area_11_01_10_2011
11.01.10.2012,Ie Mirah,adm_area_11_01_10_2012
11.01.10.2013,Pasie Rasian,adm_area_11_01_10_2013
11.01.10.2014,Ujung Padang Rasian,adm_area_11_01_10_2014
11.01.10.2015,Krueng Kalee,adm_area_11_01_10_2015
11.01.10.2016,Lhok Sialang Rayeuk,adm_area_11_01_10_2016
11.01.10.2017,Gampong Baro,adm_area_11_01_10_2017
11.01.10.2018,Teupin Gajah,adm_area_11_01_10_2018
11.01.10.2019,Ujung Padang Asahan,adm_area_11_01_10_2019
11.01.10.2020,Pulo Ie II,adm_area_11_01_10_2020
11.01.10.2021,Pante Raja,adm_area_11_01_10_2021
11.01.11,"Labuhan Haji Timur,",adm_area_11_01_11
11.01.11.2001,Tengah Peulumat,adm_area_11_01_11_2001
11.01.11.2002,Paya Peulumat,adm_area_11_01_11_2002
11.01.11.2003,Padang Peulumat,adm_area_11_01_11_2003
11.01.11.2004,Aur Peulumat,adm_area_11_01_11_2004
11.01.11.2005,Limau Saring,adm_area_11_01_11_2005
11.01.11.2006,Beutong,adm_area_11_01_11_2006
11.01.11.2007,Peuneulop,adm_area_11_01_11_2007
11.01.11.2008,Gunung Rotan,adm_area_11_01_11_2008
11.01.11.2009,Keumumu  Hilir,adm_area_11_01_11_2009
11.01.11.2010,Keumumu Hulu,adm_area_11_01_11_2010
11.01.11.2011,Keumumu Seberang,adm_area_11_01_11_2011
11.01.11.2012,Sawang Indah,adm_area_11_01_11_2012
11.01.12,Labuhan Haji Barat,adm_area_11_01_12
11.01.12.2001,Tutong,adm_area_11_01_12_2001
11.01.12.2002,Teungoh Iboh,adm_area_11_01_12_2002
11.01.12.2003,Peulokan,adm_area_11_01_12_2003
11.01.12.2004,Kuta Iboh,adm_area_11_01_12_2004
11.01.12.2005,Ujung Padang,adm_area_11_01_12_2005
11.01.12.2006,Blang Baru,adm_area_11_01_12_2006
