code,name,id
16.07.13,Muara Sugihan,adm_area_16_07_13
16.07.13.2001,Margo Mulyo 16,adm_area_16_07_13_2001
16.07.13.2002,Rejo Sari,adm_area_16_07_13_2002
16.07.13.2003,Daya Murni,adm_area_16_07_13_2003
16.07.13.2004,Daya Bangun Harjo,adm_area_16_07_13_2004
16.07.13.2005,Sumber Mulyo,adm_area_16_07_13_2005
16.07.13.2006,Sugih Waras,adm_area_16_07_13_2006
16.07.13.2007,Indrapura,adm_area_16_07_13_2007
16.07.13.2008,Cendana,adm_area_16_07_13_2008
16.07.13.2009,Argo Mulyo,adm_area_16_07_13_2009
16.07.13.2010,Tirta Harjo,adm_area_16_07_13_2010
16.07.13.2011,Tirta Mulyo,adm_area_16_07_13_2011
16.07.13.2012,Daya Kesuma,adm_area_16_07_13_2012
16.07.13.2013,Margo Rukun,adm_area_16_07_13_2013
16.07.13.2014,Genesa Mukti,adm_area_16_07_13_2014
16.07.13.2015,Timbul Jaya,adm_area_16_07_13_2015
16.07.13.2016,Jalur Mulya,adm_area_16_07_13_2016
16.07.13.2017,Gilirang,adm_area_16_07_13_2017
16.07.13.2018,Juru Taro,adm_area_16_07_13_2018
16.07.13.2019,Kuala Sugihan,adm_area_16_07_13_2019
16.07.13.2020,Beringin Agung,adm_area_16_07_13_2020
16.07.13.2021,Mekar Jaya,adm_area_16_07_13_2021
16.07.13.2022,Sido Makmur,adm_area_16_07_13_2022
16.07.14,Air Salek,adm_area_16_07_14
16.07.14.2001,Air Solok Batu,adm_area_16_07_14_2001
16.07.14.2002,Sri Mulyo,adm_area_16_07_14_2002
16.07.14.2003,Sri Katon,adm_area_16_07_14_2003
16.07.14.2004,Sido Harjo,adm_area_16_07_14_2004
16.07.14.2005,Bintaran,adm_area_16_07_14_2005
16.07.14.2006,Damar Wulan,adm_area_16_07_14_2006
16.07.14.2007,Enggal Rejo,adm_area_16_07_14_2007
16.07.14.2008,Saleh Jaya,adm_area_16_07_14_2008
16.07.14.2009,Saleh Agung,adm_area_16_07_14_2009
16.07.14.2010,Saleh Mulya,adm_area_16_07_14_2010
16.07.14.2011,Saleh Mukti,adm_area_16_07_14_2011
16.07.14.2012,Saleh Makmur,adm_area_16_07_14_2012
16.07.14.2013,Upang,adm_area_16_07_14_2013
16.07.14.2014,Upang Marga,adm_area_16_07_14_2014
16.07.15,Tungkal Ilir,adm_area_16_07_15
16.07.15.2001,Bentayan,adm_area_16_07_15_2001
16.07.15.2002,Teluktenggulang,adm_area_16_07_15_2002
16.07.15.2004,Suka Mulya,adm_area_16_07_15_2004
16.07.15.2005,Suka Raja,adm_area_16_07_15_2005
16.07.15.2006,Karang Anyar,adm_area_16_07_15_2006
16.07.15.2007,Karang Asem,adm_area_16_07_15_2007
16.07.15.2008,Marga Rahayu,adm_area_16_07_15_2008
16.07.15.2009,Sido Mulyo,adm_area_16_07_15_2009
16.07.15.2010,Keluang,adm_area_16_07_15_2010
16.07.15.2011,Bumi Serdang,adm_area_16_07_15_2011
16.07.15.2012,Karang Mulya,adm_area_16_07_15_2012
16.07.15.2013,Sukakarya,adm_area_16_07_15_2013
16.07.15.2014,Panca Mulya,adm_area_16_07_15_2014
16.07.15.2015,Suka Jaya,adm_area_16_07_15_2015
16.07.16,Suak Tapeh,adm_area_16_07_16
16.07.16.2001,Talang Ipuh,adm_area_16_07_16_2001
16.07.16.2002,Durian Daun,adm_area_16_07_16_2002
16.07.16.2003,Lubuk Lancang,adm_area_16_07_16_2003
16.07.16.2004,Biyuku,adm_area_16_07_16_2004
16.07.16.2005,Bengkuang,adm_area_16_07_16_2005
16.07.16.2006,Rimba Terap,adm_area_16_07_16_2006
16.07.16.2007,Sedang,adm_area_16_07_16_2007
16.07.16.2008,Tanjunglaut,adm_area_16_07_16_2008
16.07.16.2009,Air Senggeris,adm_area_16_07_16_2009
16.07.16.2010,Meranti,adm_area_16_07_16_2010
16.07.16.2011,Sukaraja,adm_area_16_07_16_2011
16.07.17,Sembawa,adm_area_16_07_17
16.07.17.2001,Mainan,adm_area_16_07_17_2001
16.07.17.2002,Santansari,adm_area_16_07_17_2002
16.07.17.2003,Limau,adm_area_16_07_17_2003
16.07.17.2004,Rejodadi,adm_area_16_07_17_2004
16.07.17.2005,Lalang Sembawa,adm_area_16_07_17_2005
16.07.17.2006,Muaradamai,adm_area_16_07_17_2006
16.07.17.2007,Pulauharapan,adm_area_16_07_17_2007
16.07.17.2008,Purwo Sari,adm_area_16_07_17_2008
16.07.17.2009,Limbang Mulia,adm_area_16_07_17_2009
16.07.17.2010,Sako Makmur,adm_area_16_07_17_2010
16.07.17.2011,Pulaumuning,adm_area_16_07_17_2011
16.07.18,Sumber Marga Telang,adm_area_16_07_18
16.07.18.2001,Terusan Dalam,adm_area_16_07_18_2001
16.07.18.2002,Karang Anyar,adm_area_16_07_18_2002
16.07.18.2003,Muaratelang,adm_area_16_07_18_2003
16.07.18.2004,Terusan Tengah,adm_area_16_07_18_2004
16.07.18.2005,Sumber Jaya,adm_area_16_07_18_2005
16.07.18.2006,Karang Baru,adm_area_16_07_18_2006
16.07.18.2007,Muaratelang Marga,adm_area_16_07_18_2007
16.07.18.2008,Terusan Muara,adm_area_16_07_18_2008
16.07.18.2009,Talang Lubuk,adm_area_16_07_18_2009
16.07.18.2010,Sri Tiga,adm_area_16_07_18_2010
16.07.19,Air Kumbang,adm_area_16_07_19
16.07.19.2001,Cinta Manis Baru,adm_area_16_07_19_2001
16.07.19.2002,Sido Makmur,adm_area_16_07_19_2002
16.07.19.2003,Sidomulyo,adm_area_16_07_19_2003
16.07.19.2004,Nusa Makmur,adm_area_16_07_19_2004
16.07.19.2005,Rimba Jaya,adm_area_16_07_19_2005
16.07.19.2006,Teluktenggirik,adm_area_16_07_19_2006
16.07.19.2007,Sebubus,adm_area_16_07_19_2007
16.07.19.2008,Padang Rejo,adm_area_16_07_19_2008
16.07.19.2009,Kumbang Padang Permata,adm_area_16_07_19_2009
16.07.19.2010,Muarabaru,adm_area_16_07_19_2010
16.07.19.2011,Tirta Makmur,adm_area_16_07_19_2011
16.07.19.2012,Panca Mulya,adm_area_16_07_19_2012
16.07.19.2013,Budi Mulya,adm_area_16_07_19_2013
16.07.19.2014,Panca Desa,adm_area_16_07_19_2014
16.07.19.2015,Air Kumbang Bakti,adm_area_16_07_19_2015
16.07.19.2016,Sebokor,adm_area_16_07_19_2016
16.08,KAB. OGAN KOMERING ULU TIMUR,adm_area_16_08
16.08.01,Martapura,adm_area_16_08_01
16.08.01.2006,Tanjung Kemala,adm_area_16_08_01_2006
16.08.01.1007,Dusun Martapura,adm_area_16_08_01_1007
16.08.01.1008,Pasar Martapura,adm_area_16_08_01_1008
16.08.01.2009,Kota Baru,adm_area_16_08_01_2009
16.08.01.2010,Keromongan,adm_area_16_08_01_2010
16.08.01.2011,Perjaya,adm_area_16_08_01_2011
16.08.01.1014,Paku Sengkunyit,adm_area_16_08_01_1014
16.08.01.2015,Sukomulyo,adm_area_16_08_01_2015
16.08.01.1016,Bukit Sari,adm_area_16_08_01_1016
16.08.01.1017,Sunagituha Jaya,adm_area_16_08_01_1017
16.08.01.1018,Terukis Rahayu,adm_area_16_08_01_1018
16.08.01.1019,Veteran Jaya,adm_area_16_08_01_1019
16.08.01.2020,Kotabaru Barat,adm_area_16_08_01_2020
16.08.01.2021,Kotabaru Selatan,adm_area_16_08_01_2021
