code,name,id
32.12.29,Pasekan,adm_area_32_12_29
32.12.29.2001,Brondong,adm_area_32_12_29_2001
32.12.29.2002,Pabean Ilir,adm_area_32_12_29_2002
32.12.29.2003,Pagirikan,adm_area_32_12_29_2003
32.12.29.2004,Pasekan,adm_area_32_12_29_2004
32.12.29.2005,Karanganyar,adm_area_32_12_29_2005
32.12.29.2006,Totoran,adm_area_32_12_29_2006
32.12.30,Tukdana,adm_area_32_12_30
32.12.30.2001,Bodas,adm_area_32_12_30_2001
32.12.30.2002,Gadel,adm_area_32_12_30_2002
32.12.30.2003,Rancajawat,adm_area_32_12_30_2003
32.12.30.2004,Kerticala,adm_area_32_12_30_2004
32.12.30.2005,Cangko,adm_area_32_12_30_2005
32.12.30.2006,Karangkerta,adm_area_32_12_30_2006
32.12.30.2007,Sukamulya,adm_area_32_12_30_2007
32.12.30.2008,Mekarsari,adm_area_32_12_30_2008
32.12.30.2009,Lajer,adm_area_32_12_30_2009
32.12.30.2010,Tukdana,adm_area_32_12_30_2010
32.12.30.2011,Sukadana,adm_area_32_12_30_2011
32.12.30.2012,Pagedangan,adm_area_32_12_30_2012
32.12.30.2013,Sukaperna,adm_area_32_12_30_2013
32.12.31,Patrol,adm_area_32_12_31
32.12.31.2001,Limpas,adm_area_32_12_31_2001
32.12.31.2002,Mekarsari,adm_area_32_12_31_2002
32.12.31.2003,Patrol Baru,adm_area_32_12_31_2003
32.12.31.2004,Patrol Lor,adm_area_32_12_31_2004
32.12.31.2005,Patrol,adm_area_32_12_31_2005
32.12.31.2006,Bugel,adm_area_32_12_31_2006
32.12.31.2007,Arjasari,adm_area_32_12_31_2007
32.12.31.2008,Sukahaji,adm_area_32_12_31_2008
32.13,KAB. SUBANG,adm_area_32_13
32.13.01,Sagalaherang,adm_area_32_13_01
32.13.01.2003,Sukamandi,adm_area_32_13_01_2003
32.13.01.2004,Cicadas,adm_area_32_13_01_2004
32.13.01.2005,Sagalaherang Kidul,adm_area_32_13_01_2005
32.13.01.2006,Dayeuh Kolot,adm_area_32_13_01_2006
32.13.01.2009,Leles,adm_area_32_13_01_2009
32.13.01.2010,Curugagung,adm_area_32_13_01_2010
32.13.01.2011,Sagalaherang Kaler,adm_area_32_13_01_2011
32.13.02,Cisalak,adm_area_32_13_02
32.13.02.2001,Cupunagara,adm_area_32_13_02_2001
32.13.02.2002,Cimanggu,adm_area_32_13_02_2002
32.13.02.2003,Gardusayang,adm_area_32_13_02_2003
32.13.02.2004,Mayang,adm_area_32_13_02_2004
32.13.02.2005,Sukakerti,adm_area_32_13_02_2005
32.13.02.2007,Darmaga,adm_area_32_13_02_2007
32.13.02.2008,Cisalak,adm_area_32_13_02_2008
32.13.02.2011,Cigadog,adm_area_32_13_02_2011
32.13.02.2014,Pakuhaji,adm_area_32_13_02_2014
32.13.03,Subang,adm_area_32_13_03
32.13.03.1001,Parung,adm_area_32_13_03_1001
32.13.03.1002,Cigadung,adm_area_32_13_03_1002
32.13.03.1003,Pasirkareumbi,adm_area_32_13_03_1003
32.13.03.1004,Karanganyar,adm_area_32_13_03_1004
32.13.03.1005,Soklat,adm_area_32_13_03_1005
32.13.03.1006,Sukamelang,adm_area_32_13_03_1006
32.13.03.1007,Dangdeur,adm_area_32_13_03_1007
32.13.03.1008,Wanareja,adm_area_32_13_03_1008
32.13.04,Kalijati,adm_area_32_13_04
32.13.04.2006,Marengmang,adm_area_32_13_04_2006
32.13.04.2007,Kalijati Timur,adm_area_32_13_04_2007
32.13.04.2008,Kaliangsana,adm_area_32_13_04_2008
32.13.04.2011,Kalijati Barat,adm_area_32_13_04_2011
32.13.04.2012,Tanggulun Timur,adm_area_32_13_04_2012
32.13.04.2013,Tanggulun Barat,adm_area_32_13_04_2013
32.13.04.2017,Caracas,adm_area_32_13_04_2017
32.13.04.2018,Ciruluk,adm_area_32_13_04_2018
32.13.04.2019,Jalupang,adm_area_32_13_04_2019
32.13.04.2020,Banggalamulya,adm_area_32_13_04_2020
32.13.05,Pabuaran,adm_area_32_13_05
32.13.05.2001,Cihambulu,adm_area_32_13_05_2001
32.13.05.2002,Siluman,adm_area_32_13_05_2002
32.13.05.2003,Pringkasap,adm_area_32_13_05_2003
32.13.05.2004,Pabuaran,adm_area_32_13_05_2004
32.13.05.2005,Karanghegar,adm_area_32_13_05_2005
32.13.05.2006,Salamjaya,adm_area_32_13_05_2006
32.13.05.2007,Kadawung,adm_area_32_13_05_2007
32.13.05.2008,Balebandung Jaya,adm_area_32_13_05_2008
32.13.06,Purwadadi,adm_area_32_13_06
32.13.06.2001,Wanakerta,adm_area_32_13_06_2001
32.13.06.2002,Pagon,adm_area_32_13_06_2002
32.13.06.2003,Prapatan,adm_area_32_13_06_2003
32.13.06.2004,Purwadadi,adm_area_32_13_06_2004
32.13.06.2005,Belendung,adm_area_32_13_06_2005
32.13.06.2006,Koranji,adm_area_32_13_06_2006
32.13.06.2007,Panyingkiran,adm_area_32_13_06_2007
32.13.06.2008,Pasirbungur,adm_area_32_13_06_2008
32.13.06.2009,Purwadadi Barat,adm_area_32_13_06_2009
32.13.06.2010,Rancamahi,adm_area_32_13_06_2010
32.13.07,Pagaden,adm_area_32_13_07
32.13.07.2004,Gunungsembung,adm_area_32_13_07_2004
32.13.07.2005,Gembor,adm_area_32_13_07_2005
32.13.07.2006,Kamarung,adm_area_32_13_07_2006
32.13.07.2010,Gambarsari,adm_area_32_13_07_2010
32.13.07.2011,Pagedan,adm_area_32_13_07_2011
32.13.07.2012,Sukamulya,adm_area_32_13_07_2012
32.13.07.2013,Neglasari,adm_area_32_13_07_2013
32.13.07.2014,Sumbersari,adm_area_32_13_07_2014
32.13.07.2015,Gunungsari,adm_area_32_13_07_2015
32.13.07.2019,Jabong,adm_area_32_13_07_2019
32.13.08,Binong,adm_area_32_13_08
32.13.08.2001,Cicadas,adm_area_32_13_08_2001
32.13.08.2002,Kihiyang,adm_area_32_13_08_2002
32.13.08.2003,Binong,adm_area_32_13_08_2003
32.13.08.2004,Kediri,adm_area_32_13_08_2004
32.13.08.2010,Citrajaya,adm_area_32_13_08_2010
32.13.08.2011,Mulyasari,adm_area_32_13_08_2011
32.13.08.2014,Karangsari,adm_area_32_13_08_2014
32.13.08.2016,Karangwangi,adm_area_32_13_08_2016
32.13.08.2018,Nanggerang,adm_area_32_13_08_2018
32.13.09,Ciasem,adm_area_32_13_09
32.13.09.2001,Ciasem Girang,adm_area_32_13_09_2001
32.13.09.2002,Ciasem Tengah,adm_area_32_13_09_2002
32.13.09.2003,Dukuh,adm_area_32_13_09_2003
32.13.09.2004,Ciasem Hilir,adm_area_32_13_09_2004
32.13.09.2005,Sukahaji,adm_area_32_13_09_2005
32.13.09.2006,Sukamandijaya,adm_area_32_13_09_2006
32.13.09.2007,Ciasem Baru,adm_area_32_13_09_2007
32.13.09.2008,Pinangsari,adm_area_32_13_09_2008
32.13.09.2009,Jatibaru,adm_area_32_13_09_2009
32.13.10,Pusakanagara,adm_area_32_13_10
32.13.10.2005,Pusakaratu,adm_area_32_13_10_2005
32.13.10.2006,Gempol,adm_area_32_13_10_2006
32.13.10.2007,Kalentambo,adm_area_32_13_10_2007
32.13.10.2008,Patimban,adm_area_32_13_10_2008
32.13.10.2012,Rancadaka,adm_area_32_13_10_2012
32.13.10.2014,Kotasari,adm_area_32_13_10_2014
32.13.10.2015,Mundusari,adm_area_32_13_10_2015
32.13.11,Pamanukan,adm_area_32_13_11
32.13.11.2002,Rancasari,adm_area_32_13_11_2002
32.13.11.2003,Rancahilir,adm_area_32_13_11_2003
32.13.11.2004,Pamanukan,adm_area_32_13_11_2004
32.13.11.2006,Pamanukan Hilir,adm_area_32_13_11_2006
32.13.11.2007,Pamanukan Sebrang,adm_area_32_13_11_2007
32.13.11.2009,Mulyasari,adm_area_32_13_11_2009
32.13.11.2010,Lengkongjaya,adm_area_32_13_11_2010
32.13.11.2011,Bongas,adm_area_32_13_11_2011
32.13.12,Jalancagak,adm_area_32_13_12
32.13.12.2007,Curugrendeng,adm_area_32_13_12_2007
32.13.12.2008,Tambakan,adm_area_32_13_12_2008
32.13.12.2009,Bunihayu,adm_area_32_13_12_2009
32.13.12.2011,Kumpay,adm_area_32_13_12_2011
32.13.12.2012,Sarireja,adm_area_32_13_12_2012
32.13.12.2014,Tambakmekar,adm_area_32_13_12_2014
32.13.12.2017,Jalancagak,adm_area_32_13_12_2017
32.13.13,Blanakan,adm_area_32_13_13
32.13.13.2001,Tanjungtiga,adm_area_32_13_13_2001
32.13.13.2002,Muara,adm_area_32_13_13_2002
32.13.13.2003,Blanakan,adm_area_32_13_13_2003
32.13.13.2004,Rawameneng,adm_area_32_13_13_2004
32.13.13.2005,Cilamayagirang,adm_area_32_13_13_2005
32.13.13.2006,Jayamukti,adm_area_32_13_13_2006
32.13.13.2007,Cilamayahilir,adm_area_32_13_13_2007
32.13.13.2008,Rawamekar,adm_area_32_13_13_2008
32.13.13.2009,Langensari,adm_area_32_13_13_2009
32.13.14,Tanjungsiang,adm_area_32_13_14
32.13.14.2001,Buniara,adm_area_32_13_14_2001
32.13.14.2002,Tanjungsiang,adm_area_32_13_14_2002
32.13.14.2003,Cimeuhmal,adm_area_32_13_14_2003
32.13.14.2004,Sirap,adm_area_32_13_14_2004
32.13.14.2005,Kawungluwuk,adm_area_32_13_14_2005
32.13.14.2006,Cibuluh,adm_area_32_13_14_2006
32.13.14.2007,Sindanglaya,adm_area_32_13_14_2007
32.13.14.2008,Rancamanggung,adm_area_32_13_14_2008
32.13.14.2009,Cikawung,adm_area_32_13_14_2009
32.13.14.2010,Gandasoli,adm_area_32_13_14_2010
32.13.15,Compreng,adm_area_32_13_15
32.13.15.2001,Jatimulya,adm_area_32_13_15_2001
32.13.15.2002,Sukatani,adm_area_32_13_15_2002
32.13.15.2003,Jatireja,adm_area_32_13_15_2003
32.13.15.2004,Compreng,adm_area_32_13_15_2004
32.13.15.2005,Kalensari,adm_area_32_13_15_2005
32.13.15.2006,Mekarjaya,adm_area_32_13_15_2006
32.13.15.2007,Kiarasari,adm_area_32_13_15_2007
32.13.15.2008,Sukadana,adm_area_32_13_15_2008
32.13.16,Patokbeusi,adm_area_32_13_16
32.13.16.2001,Rancabango,adm_area_32_13_16_2001
32.13.16.2002,Tanjungrasa,adm_area_32_13_16_2002
