code,name,id
35.78.08,Gubeng,adm_area_35_78_08
35.78.08.1001,Gubeng,adm_area_35_78_08_1001
35.78.08.1002,Mojo,adm_area_35_78_08_1002
35.78.08.1003,Airlangga,adm_area_35_78_08_1003
35.78.08.1004,Kertajaya,adm_area_35_78_08_1004
35.78.08.1005,Baratajaya,adm_area_35_78_08_1005
35.78.08.1006,Pucang Sewu,adm_area_35_78_08_1006
35.78.09,Sukolilo,adm_area_35_78_09
35.78.09.1001,Keputih,adm_area_35_78_09_1001
35.78.09.1002,Gebang Putih,adm_area_35_78_09_1002
35.78.09.1003,Klampis Ngasem,adm_area_35_78_09_1003
35.78.09.1004,Menur Pumpungan,adm_area_35_78_09_1004
35.78.09.1005,Nginden Jangkungan,adm_area_35_78_09_1005
35.78.09.1006,Semolowaru,adm_area_35_78_09_1006
35.78.09.1007,Medokan Semampir,adm_area_35_78_09_1007
35.78.10,Tambaksari,adm_area_35_78_10
35.78.10.1001,Tambaksari,adm_area_35_78_10_1001
35.78.10.1002,Ploso,adm_area_35_78_10_1002
35.78.10.1003,Gading,adm_area_35_78_10_1003
35.78.10.1004,Pacarkembang,adm_area_35_78_10_1004
35.78.10.1005,Rangkah,adm_area_35_78_10_1005
35.78.10.1006,Pacarkeling,adm_area_35_78_10_1006
35.78.10.1007,Kapas Madya Baru,adm_area_35_78_10_1007
35.78.10.1008,Dukuh Setro,adm_area_35_78_10_1008
35.78.11,Simokerto,adm_area_35_78_11
35.78.11.1001,Simokerto,adm_area_35_78_11_1001
35.78.11.1002,Kapasan,adm_area_35_78_11_1002
35.78.11.1003,Sidodadi,adm_area_35_78_11_1003
35.78.11.1004,Simolawang,adm_area_35_78_11_1004
35.78.11.1005,Tambakrejo,adm_area_35_78_11_1005
35.78.12,Pabean Cantian,adm_area_35_78_12
35.78.12.1001,Bongkaran,adm_area_35_78_12_1001
35.78.12.1002,Nyamplungan,adm_area_35_78_12_1002
35.78.12.1003,Krembangan Utara,adm_area_35_78_12_1003
35.78.12.1004,Perak Timur,adm_area_35_78_12_1004
35.78.12.1005,Perak Utara,adm_area_35_78_12_1005
35.78.13,Bubutan,adm_area_35_78_13
35.78.13.1001,Alun-alun Contong,adm_area_35_78_13_1001
35.78.13.1002,Bubutan,adm_area_35_78_13_1002
35.78.13.1003,Gundih,adm_area_35_78_13_1003
35.78.13.1004,Jepara,adm_area_35_78_13_1004
35.78.13.1005,Tembok Dukuh,adm_area_35_78_13_1005
35.78.14,Tandes,adm_area_35_78_14
35.78.14.1002,Tandes,adm_area_35_78_14_1002
35.78.14.1006,Karang Poh,adm_area_35_78_14_1006
35.78.14.1007,Balongsari,adm_area_35_78_14_1007
35.78.14.1009,Manukan Kulon,adm_area_35_78_14_1009
35.78.14.1011,Manukan Wetan,adm_area_35_78_14_1011
35.78.14.1012,Banjar Sugihan,adm_area_35_78_14_1012
35.78.15,Krembangan,adm_area_35_78_15
35.78.15.1001,Krembangan Selatan,adm_area_35_78_15_1001
35.78.15.1002,Kemayoran,adm_area_35_78_15_1002
35.78.15.1003,Perak Barat,adm_area_35_78_15_1003
35.78.15.1004,Dupak,adm_area_35_78_15_1004
35.78.15.1005,Morokrembangan,adm_area_35_78_15_1005
35.78.16,Semampir,adm_area_35_78_16
35.78.16.1001,Ampel,adm_area_35_78_16_1001
35.78.16.1002,Pegirikan,adm_area_35_78_16_1002
35.78.16.1003,Wonokusumo,adm_area_35_78_16_1003
35.78.16.1004,Ujung,adm_area_35_78_16_1004
35.78.16.1005,Sidotopo,adm_area_35_78_16_1005
35.78.17,Kenjeran,adm_area_35_78_17
35.78.17.1001,Tanah Kali Kedinding,adm_area_35_78_17_1001
35.78.17.1002,Sidotopo Wetan,adm_area_35_78_17_1002
35.78.17.1003,Bulak Banteng,adm_area_35_78_17_1003
35.78.17.1004,Tambak Wedi,adm_area_35_78_17_1004
35.78.18,Lakarsantri,adm_area_35_78_18
35.78.18.1001,Bangkingan,adm_area_35_78_18_1001
35.78.18.1002,Jeruk,adm_area_35_78_18_1002
