code,name,id
72.08.04,Moutong,adm_area_72_08_04
72.08.04.2001,Moutong Timur,adm_area_72_08_04_2001
72.08.04.2002,Moutong Barat,adm_area_72_08_04_2002
72.08.04.2003,Moutong Tengah,adm_area_72_08_04_2003
72.08.04.2004,Tuladenggi Pantai,adm_area_72_08_04_2004
72.08.04.2006,Gio,adm_area_72_08_04_2006
72.08.04.2024,Lobu,adm_area_72_08_04_2024
72.08.04.2025,Pendelalap,adm_area_72_08_04_2025
72.08.04.2026,Sejoli,adm_area_72_08_04_2026
72.08.04.2028,Aedan Raya,adm_area_72_08_04_2028
72.08.04.2029,Salumpengut,adm_area_72_08_04_2029
72.08.04.2030,Boloung Olonggata,adm_area_72_08_04_2030
72.08.04.2031,Labuan,adm_area_72_08_04_2031
72.08.04.2032,Mbelang Mbelang,adm_area_72_08_04_2032
72.08.04.2033,Pande,adm_area_72_08_04_2033
72.08.04.2034,Moutong Utara,adm_area_72_08_04_2034
72.08.04.2035,Salepae,adm_area_72_08_04_2035
72.08.04.2036,Olonggata,adm_area_72_08_04_2036
72.08.04.2037,Gio Timur,adm_area_72_08_04_2037
72.08.04.2038,Gio Barat,adm_area_72_08_04_2038
72.08.04.2039,Sialopa,adm_area_72_08_04_2039
72.08.05,Tomini,adm_area_72_08_05
72.08.05.2005,Tingkulang,adm_area_72_08_05_2005
72.08.05.2006,Tomini,adm_area_72_08_05_2006
72.08.05.2007,Ogotumubu,adm_area_72_08_05_2007
72.08.05.2008,Ambesia,adm_area_72_08_05_2008
72.08.05.2009,Tilung,adm_area_72_08_05_2009
72.08.05.2022,Ambesia Selatan,adm_area_72_08_05_2022
72.08.05.2023,Biga,adm_area_72_08_05_2023
72.08.05.2024,Tomini Utara,adm_area_72_08_05_2024
72.08.05.2025,Tomini Barat,adm_area_72_08_05_2025
72.08.05.2026,Supilopong,adm_area_72_08_05_2026
72.08.05.2027,Ambesia Barat,adm_area_72_08_05_2027
